dates	sent	house	indpro	sp500
2000-01-01	102.7812210918400	1636	94.7615	1394.459961
2000-02-01	102.8340949757910	1737	95.0664	1366.420044
2000-03-01	102.7531814514700	1604	95.4649	1498.579956
2000-04-01	102.7346543454890	1626	96.1873	1452.430054
2000-05-01	102.7093497084530	1575	96.3963	1420.599976
2000-06-01	102.6104985467350	1559	96.4880	1454.599976
2000-07-01	102.5770354779470	1463	96.3860	1430.829956
2000-08-01	102.5421717064930	1541	96.0455	1517.680054
2000-09-01	102.4923298490350	1507	96.4354	1436.51001
2000-10-01	102.3833383603300	1549	96.1096	1429.400024
2000-11-01	102.1309387178750	1551	96.1276	1314.949951
2000-12-01	101.6011075650000	1532	95.8441	1320.280029
2001-01-01	101.0760611754310	1600	95.1747	1366.01001
2001-02-01	100.6923286264820	1625	94.5581	1239.939941
2001-03-01	100.5267216098400	1590	94.2954	1160.329956
2001-04-01	100.4935226634780	1649	94.0294	1249.459961
2001-05-01	100.6168945993550	1605	93.3526	1255.819946
2001-06-01	100.6962044783620	1636	92.7435	1224.380005
2001-07-01	100.6098613186690	1670	92.2490	1211.22998
2001-08-01	100.3072078240930	1567	92.0500	1133.579956
2001-09-01	99.8711296746579	1562	91.7355	1040.939941
2001-10-01	99.7139066101242	1540	91.3042	1059.780029
2001-11-01	99.8621979269259	1602	90.8141	1139.449951
2001-12-01	100.2210679537620	1568	90.8243	1148.079956
2002-01-01	100.5680979495350	1698	91.4030	1130.199951
2002-02-01	100.7759958700450	1829	91.4020	1106.72998
2002-03-01	100.9639776238060	1642	92.1252	1147.390015
2002-04-01	101.0169296566230	1592	92.5335	1076.920044
2002-05-01	100.9907739259110	1764	92.9145	1067.140015
2002-06-01	100.7391086347160	1717	93.8071	989.820007
2002-07-01	100.4021744103340	1655	93.5978	911.619995
2002-08-01	100.1245075402270	1633	93.6123	916.070007
2002-09-01	99.8815960102466	1804	93.7211	815.280029
2002-10-01	99.6982117019334	1648	93.4327	885.76001
2002-11-01	99.7133179040714	1753	93.9229	936.309998
2002-12-01	99.7107722201022	1788	93.4505	879.820007
2003-01-01	99.5314300102118	1853	94.0868	855.700012
2003-02-01	99.3723634393443	1629	94.3655	841.150024
2003-03-01	99.4559255009351	1726	94.1543	848.179993
2003-04-01	99.8921432237347	1643	93.4440	916.919983
2003-05-01	100.3222161152960	1751	93.4875	963.590027
2003-06-01	100.4791209423670	1867	93.5856	974.50
2003-07-01	100.4814218475910	1897	94.0002	990.309998
2003-08-01	100.3915590929640	1833	93.8015	1008.01001
2003-09-01	100.3559513693390	1939	94.3862	995.969971
2003-10-01	100.5049875980770	1967	94.4645	1050.709961
2003-11-01	100.7987637016750	2083	95.2175	1058.199951
2003-12-01	101.1035181317060	2057	95.1269	1111.920044
2004-01-01	101.3844000822510	1911	95.3012	1131.130005
2004-02-01	101.2701787796900	1846	95.8359	1144.939941
2004-03-01	101.1014582030790	1998	95.3155	1126.209961
2004-04-01	100.9294065378990	2003	95.6825	1107.300049
2004-05-01	100.8506138365350	1981	96.4212	1120.680054
2004-06-01	100.9892727304690	1828	95.6445	1140.839966
2004-07-01	101.1012937491680	2002	96.3852	1101.719971
2004-08-01	101.0764608924880	2024	96.4450	1104.23999
2004-09-01	100.9569468921580	1905	96.5044	1114.579956
2004-10-01	100.8672105919580	2072	97.4167	1130.199951
2004-11-01	100.9317730605090	1782	97.6225	1173.819946
2004-12-01	101.0682805274190	2042	98.3132	1211.920044
2005-01-01	101.0534781949180	2144	98.7886	1181.27002
2005-02-01	100.8969809571020	2207	99.4359	1203.599976
2005-03-01	100.6662047794460	1864	99.3247	1180.589966
2005-04-01	100.4767268527530	2061	99.4595	1156.849976
